classification;category;sub_category;product_name;product_format;product_price;product_unit
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva 0,4º Hacendado; Botella 1 L;7,25 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva virgen extra Hacendado; Garrafa 3 L;27,60 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva virgen extra Hacendado; Botella 1 L;9,25 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva virgen extra Hacendado Gran Selección; Botella 750 ml;7,60 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva 1º Hacendado; Garrafa 5 L;36,95 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva 1º Hacendado; Botella 1 L;7,55 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva virgen Hacendado; Garrafa 3 L;24,60 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva virgen Hacendado; Botella 1 L;8,25 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva suave Hacendado; Garrafa 3 L;21,60 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva virgen extra Hacendado; Spray 200 ml;3,10 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de girasol, semillas y maíz;Aceite de girasol refinado 0,2º Hacendado; Garrafa 5 L;7,20 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de girasol, semillas y maíz;Aceite de girasol refinado 0,2º Hacendado; Botella 1 L;1,55 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de girasol, semillas y maíz;Aceite de coco virgen Hacendado; Bote 450 ml;4,40 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Vinagre de vino blanco Hacendado; Botella 1 L;0,65 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Vinagre balsámico de Módena Hacendado; Botella 250 ml;1,20 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Vinagre de manzana Hacendado; Botella 1 L;0,80 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Limón exprimido Hacendado; Botella 280 ml;1,00 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Crema de vinagre balsámico de Módena Hacendado; Botella 250 g;1,65 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Vinagre de Jerez reserva Hacendado; Botella 250 ml;1,80 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Bebida aromatizada a base de vino para cocinar Abuela Carola; Botella 750 ml;2,25 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Vinagre de vino tinto Hacendado; Botella 1 L;0,95 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Reducción de vinagre Pedro Ximénez Hacendado; Botella 300 g;2,25 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Aceite de oliva, vinagre y sal Merry; 15 monodosis x 10 ml;2,20 €;/pack
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Aliño viandox Knorr; Botella 160 ml;3,05 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Sal fina Hacendado; Paquete 1 kg;0,30 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Sal fina de mesa Hacendado; Bote 250 g;0,60 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Sal yodada fina Hacendado; Paquete 1 kg;0,35 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Sal gruesa Hacendado; Paquete 1 kg;0,35 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Bicarbonato sódico Hacendado; Paquete 1 kg;1,50 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Bicarbonato sódico Hacendado; Bote 300 g;1,10 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Sal marina en escamas Polasal; Bote 125 g;2,00 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Sal gruesa para hornear Hacendado; Paquete 2 kg;0,95 €;/ud.
